spot,expiry,daysOut,strike,bid,ask,mid,oi,vol,iv,spreadPct
133.53,2026-03-13,6,30.0,0.0,0.01,0.01,52,552,3.375,200.0
133.53,2026-03-13,6,35.0,0.0,0.01,0.01,64,583,3.0,200.0
133.53,2026-03-13,6,40.0,0.0,0.1,0.05,227,12,3.3594,200.0
133.53,2026-03-13,6,45.0,0.0,0.03,0.01,50,5,2.6875,200.0
133.53,2026-03-13,6,50.0,0.0,0.03,0.01,426,7,2.4375,200.0
133.53,2026-03-13,6,55.0,0.0,0.04,0.02,392,158,2.2813,200.0
133.53,2026-03-13,6,60.0,0.02,0.05,0.04,962,14,2.1875,85.7
133.53,2026-03-13,6,65.0,0.02,0.04,0.03,3334,150,1.9531,66.7
133.53,2026-03-13,6,70.0,0.02,0.05,0.04,1299,166,1.7969,85.7
133.53,2026-03-13,6,75.0,0.05,0.07,0.06,4564,3220,1.7188,33.3
133.53,2026-03-13,6,80.0,0.05,0.1,0.08,7459,2966,1.5859,66.7
133.53,2026-03-13,6,85.0,0.1,0.11,0.11,5976,831,1.4805,9.5
133.53,2026-03-13,6,88.0,0.05,0.18,0.11,108,19,1.3945,113.0
133.53,2026-03-13,6,89.0,0.09,0.2,0.15,3300,32,1.4102,75.9
133.53,2026-03-13,6,90.0,0.16,0.17,0.17,13321,1758,1.4023,6.1
133.53,2026-03-13,6,91.0,0.15,0.27,0.21,210,3,1.4199,57.1
133.53,2026-03-13,6,92.0,0.0,0.43,0.21,91,78,1.3906,200.0
133.53,2026-03-13,6,93.0,0.01,0.41,0.21,95,29,1.3496,190.5
133.53,2026-03-13,6,94.0,0.13,0.3,0.21,58,50,1.3203,79.1
133.53,2026-03-13,6,95.0,0.23,0.28,0.26,7875,8546,1.3242,19.6
133.53,2026-03-13,6,96.0,0.26,0.35,0.3,58,22,1.332,29.5
133.53,2026-03-13,6,97.0,0.24,0.38,0.31,225,30,1.2998,45.2
133.53,2026-03-13,6,98.0,0.21,0.37,0.29,171,52,1.249,55.2
133.53,2026-03-13,6,99.0,0.33,0.43,0.38,863,355,1.2783,26.3
133.53,2026-03-13,6,100.0,0.32,0.4,0.36,8702,3931,1.2295,22.2
133.53,2026-03-13,6,101.0,0.33,0.52,0.43,209,134,1.2344,44.7
133.53,2026-03-13,6,102.0,0.36,0.53,0.45,421,38,1.21,38.2
133.53,2026-03-13,6,103.0,0.45,0.66,0.56,40,213,1.2314,37.8
133.53,2026-03-13,6,104.0,0.5,0.6,0.55,151,557,1.1914,18.2
133.53,2026-03-13,6,105.0,0.55,0.6,0.57,4762,975,1.167,8.7
133.53,2026-03-13,6,108.0,0.63,0.8,0.72,57,101,1.1138,23.8
133.53,2026-03-13,6,109.0,0.75,0.81,0.78,54,167,1.1006,7.7
133.53,2026-03-13,6,110.0,0.81,0.86,0.83,2472,2098,1.0815,6.0
133.53,2026-03-13,6,111.0,0.84,1.01,0.93,78,32,1.0728,18.4
133.53,2026-03-13,6,112.0,0.94,1.03,0.98,210,93,1.0523,9.1
133.53,2026-03-13,6,113.0,1.05,1.1,1.08,44,97,1.0396,4.7
133.53,2026-03-13,6,114.0,0.96,1.21,1.08,24,248,1.0024,23.0
133.53,2026-03-13,6,115.0,1.23,1.31,1.27,1924,2590,1.0117,6.3
133.53,2026-03-13,6,116.0,1.31,1.39,1.35,662,701,0.9902,5.9
133.53,2026-03-13,6,117.0,1.44,1.5,1.47,204,291,0.9771,4.1
133.53,2026-03-13,6,118.0,1.54,1.65,1.59,102,220,0.9624,6.9
133.53,2026-03-13,6,119.0,1.63,1.77,1.7,239,743,0.9419,8.2
133.53,2026-03-13,6,120.0,1.85,1.95,1.9,2007,1933,0.9385,5.3
133.53,2026-03-13,6,121.0,1.98,2.12,2.05,138,418,0.9224,6.8
133.53,2026-03-13,6,122.0,2.16,2.29,2.23,108,283,0.9087,5.8
133.53,2026-03-13,6,123.0,2.41,2.54,2.48,413,776,0.9058,5.3
133.53,2026-03-13,6,124.0,2.6,2.74,2.67,239,279,0.8901,5.2
133.53,2026-03-13,6,125.0,2.77,2.9,2.83,1155,1699,0.8672,4.6
133.53,2026-03-13,6,126.0,2.98,3.25,3.12,1151,293,0.8604,8.7
133.53,2026-03-13,6,127.0,3.15,3.75,3.45,547,796,0.8584,17.4
133.53,2026-03-13,6,128.0,3.65,3.8,3.72,129,271,0.8442,4.0
133.53,2026-03-13,6,129.0,4.0,4.2,4.1,4702,507,0.8416,4.9
133.53,2026-03-13,6,130.0,4.35,4.45,4.4,3237,3354,0.8247,2.3
133.53,2026-03-13,6,131.0,4.7,4.9,4.8,161,332,0.8188,4.2
133.53,2026-03-13,6,132.0,5.15,5.25,5.2,203,1010,0.8093,1.9
133.53,2026-03-13,6,133.0,5.55,5.7,5.62,4140,1748,0.7998,2.7
133.53,2026-03-13,6,134.0,6.0,6.15,6.08,813,1183,0.7903,2.5
133.53,2026-03-13,6,135.0,6.5,6.75,6.62,2197,2273,0.7905,3.8
133.53,2026-03-13,6,136.0,7.0,7.25,7.12,582,1328,0.7803,3.5
133.53,2026-03-13,6,137.0,7.5,7.85,7.67,186,346,0.7732,4.6
133.53,2026-03-13,6,138.0,7.65,8.7,8.18,2120,114,0.7551,12.8
133.53,2026-03-13,6,139.0,8.3,9.05,8.68,3146,196,0.7329,8.6
133.53,2026-03-13,6,140.0,9.35,9.7,9.52,1566,886,0.7571,3.7
133.53,2026-03-13,6,142.0,10.7,11.1,10.9,108,83,0.7483,3.7
133.53,2026-03-13,6,143.0,11.4,11.9,11.65,117,71,0.748,4.3
133.53,2026-03-13,6,144.0,11.5,12.95,12.22,240,54,0.7139,11.9
133.53,2026-03-13,6,145.0,12.7,13.4,13.05,988,150,0.7183,5.4
133.53,2026-03-13,6,146.0,13.75,15.2,14.47,112,21,0.8296,10.0
133.53,2026-03-13,6,149.0,15.7,17.1,16.4,128,19,0.7114,8.5
133.53,2026-03-13,6,150.0,16.85,17.7,17.27,1627,1254,0.7095,4.9
