path_idx, S_T     , H_max   , stock_pnl, W_options, Pi_final, full_pnl, ideal_floor_pnl, protection_gap, ever_breached, n_rolls
       0,   232.75,   343.54, 99.22    , 121.84   , 39.83   , 260.89  , -26.71         , 287.6         ,             0,      27
       1,   112.73,   513.39, -20.8    , 356.31   , 3.53    , 339.04  , -26.71         , 365.74        ,             0,      25
       2,   330.31,  1104.3 , 196.78   , 426.11   , 85.67   , 708.56  , -26.71         , 735.27        ,             0,      25
       3,   866.09,  1126.51, 732.56   , -170.85  , 173.15  , 734.85  , -26.71         , 761.56        ,             0,      25
       4,   746.1 ,   746.1 , 612.57   , -13.42   , 83.96   , 683.11  , -26.71         , 709.81        ,             0,      25
       5,  1018.14,  1018.14, 884.61   , 48.98    , 80.41   , 1014.0  , -26.71         , 1040.71       ,             0,      25
       6,  5077.05,  5077.05, 4943.52  , -504.64  , 93.63   , 4532.51 , -26.71         , 4559.22       ,             0,      25
       7,   859.88,  1503.87, 726.35   , 372.17   , 166.61  , 1265.13 , -26.71         , 1291.84       ,             0,      25
       8,   124.68,   586.11, -8.85    , 350.09   , 10.05   , 351.29  , -26.71         , 378.0         ,             0,      25
       9,  1310.92,  1333.26, 1177.39  , 160.54   , 98.64   , 1436.57 , -26.71         , 1463.28       ,             0,      25
      10,   353.69,   548.9 , 220.16   , 207.85   , 40.81   , 468.83  , -26.71         , 495.53        ,             0,      25
      11,  2260.96,  2485.05, 2127.43  , -224.73  , 196.01  , 2098.7  , -26.71         , 2125.41       ,             0,      25
      12,     9.01,   133.74, -124.52  , 108.21   , -43.5   , -59.81  , -26.71         , -33.1         ,             1,      29
      13,  4536.88,  4787.34, 4403.35  , -1733.97 , 957.78  , 3627.16 , -26.71         , 3653.87       ,             0,      25
      14,    83.0 ,   358.56, -50.53   , 344.44   , -1.37   , 292.54  , -26.71         , 319.24        ,             0,      25
      15,   385.97,  1407.17, 252.44   , 608.94   , 76.85   , 938.23  , -26.71         , 964.94        ,             0,      25
      16,    59.31,   157.82, -74.22   , 92.38    , -4.5    , 13.66   , -26.71         , 40.37         ,             0,      30
      17,    86.39,   140.26, -47.14   , 121.74   , -6.97   , 67.62   , -26.71         , 94.33         ,             0,      29
      18,  1855.8 ,  1999.69, 1722.27  , -470.0   , 415.35  , 1667.62 , -26.71         , 1694.32       ,             0,      25
      19,   311.64,   323.25, 178.11   , 2.52     , -2.7    , 177.94  , -26.71         , 204.64        ,             0,      25
      20,   796.71,  1677.65, 663.18   , 538.54   , 90.59   , 1292.3  , -26.71         , 1319.01       ,             0,      25
      21,   267.13,   386.93, 133.6    , 299.06   , 33.18   , 465.84  , -26.71         , 492.54        ,             0,      25
      22,   633.31,  1769.34, 499.78   , 319.56   , 89.96   , 909.3   , -26.71         , 936.01        ,             0,      25
      23,   111.27,   340.01, -22.26   , 95.74    , 46.29   , 119.77  , -26.71         , 146.48        ,             0,      25
      24,   677.8 ,   686.15, 544.27   , 341.85   , 39.73   , 925.85  , -26.71         , 952.56        ,             0,      25
      25,   772.81,   930.64, 639.28   , 193.12   , 72.89   , 905.29  , -26.71         , 931.99        ,             0,      25
      26,   460.39,   592.67, 326.86   , -75.18   , 138.92  , 390.6   , -26.71         , 417.3         ,             0,      25
      27,    42.81,   173.0 , -90.72   , 137.32   , 9.28    , 55.88   , -26.71         , 82.58         ,             0,      29
      28,   908.08,   964.43, 774.55   , -160.44  , 190.33  , 804.45  , -26.71         , 831.15        ,             0,      25
      29,    23.9 ,   140.52, -109.63  , 99.37    , -17.83  , -28.09  , -26.71         , -1.38         ,             1,      28
      30,  2559.53,  2769.44, 2426.0   , -757.46  , 348.05  , 2016.58 , -26.71         , 2043.29       ,             0,      25
      31,    68.5 ,   168.2 , -65.03   , 100.38   , -3.9    , 31.46   , -26.71         , 58.16         ,             0,      29
      32,   243.82,   387.32, 110.29   , 146.32   , 55.03   , 311.64  , -26.71         , 338.34        ,             0,      25
      33,   671.47,  2646.55, 537.94   , 1507.0   , 169.19  , 2214.13 , -26.71         , 2240.84       ,             0,      25
      34,    31.72,   212.34, -101.81  , 136.27   , -19.55  , 14.92   , -26.71         , 41.62         ,             0,      27
      35,   616.08,   679.74, 482.55   , 114.06   , 118.08  , 714.69  , -26.71         , 741.4         ,             0,      25
      36,    63.14,   198.17, -70.39   , 143.77   , -13.07  , 60.31   , -26.71         , 87.01         ,             0,      29
      37,  5311.21,  5311.21, 5177.68  , -2343.93 , 258.84  , 3092.59 , -26.71         , 3119.3        ,             0,      25
      38,   237.21,   237.21, 103.68   , 32.07    , 15.67   , 151.42  , -26.71         , 178.13        ,             0,      28
      39,   316.22,   401.05, 182.69   , -63.03   , 88.77   , 208.43  , -26.71         , 235.14        ,             0,      26
      40,   214.06,  1288.15, 80.53    , 723.64   , 26.69   , 830.86  , -26.71         , 857.56        ,             0,      25
      41,   693.49,   693.49, 559.96   , -148.33  , 64.28   , 475.92  , -26.71         , 502.62        ,             0,      25
      42,   193.28,   496.0 , 59.75    , 152.64   , 34.32   , 246.72  , -26.71         , 273.42        ,             0,      25
      43,    97.89,   222.05, -35.64   , 196.7    , 16.85   , 177.91  , -26.71         , 204.61        ,             0,      25
      44,   250.92,   305.32, 117.39   , 148.53   , 19.69   , 285.61  , -26.71         , 312.32        ,             0,      25
      45,  3476.71,  6484.2 , 3343.18  , -124.42  , 1121.16 , 4339.92 , -26.71         , 4366.62       ,             0,      25
      46,  1922.39,  2052.88, 1788.86  , 62.55    , 287.11  , 2138.52 , -26.71         , 2165.23       ,             0,      25
      47,   655.28,   978.06, 521.75   , -95.29   , 215.72  , 642.18  , -26.71         , 668.89        ,             0,      25
      48,   200.56,   727.14, 67.03    , 571.22   , 23.49   , 661.73  , -26.71         , 688.44        ,             0,      26
      49,  1478.39,  1842.39, 1344.86  , -437.36  , 424.79  , 1332.3  , -26.71         , 1359.0        ,             0,      25
      50,   550.06,   550.06, 416.53   , -103.23  , 79.8    , 393.1   , -26.71         , 419.8         ,             0,      27
      51,  3593.29,  4150.55, 3459.76  , -468.67  , 536.66  , 3527.75 , -26.71         , 3554.45       ,             0,      25
      52,   235.77,   418.42, 102.24   , 140.13   , 61.93   , 304.3   , -26.71         , 331.0         ,             0,      25
      53,   956.3 ,  1621.94, 822.77   , 905.82   , 185.29  , 1913.89 , -26.71         , 1940.59       ,             0,      25
      54,   309.11,   449.8 , 175.58   , 233.97   , 37.52   , 447.07  , -26.71         , 473.78        ,             0,      26
      55,   223.17,  1267.26, 89.64    , 586.37   , 19.87   , 695.88  , -26.71         , 722.59        ,             0,      25
      56,    44.16,   140.17, -89.37   , 92.56    , -14.04  , -10.86  , -26.71         , 15.84         ,             0,      29
      57,   226.98,   333.09, 93.45    , 105.85   , 8.18    , 207.48  , -26.71         , 234.19        ,             0,      25
      58,  2485.2 ,  2533.41, 2351.67  , -339.74  , 235.58  , 2247.51 , -26.71         , 2274.22       ,             0,      25
      59,   981.24,   981.99, 847.71   , -264.98  , 111.57  , 694.3   , -26.71         , 721.0         ,             0,      25
      60,    12.25,   164.3 , -121.28  , 134.02   , -39.36  , -26.62  , -26.71         , 0.09          ,             0,      28
      61,   111.96,   250.34, -21.57   , 185.79   , 14.0    , 178.22  , -26.71         , 204.92        ,             0,      25
      62,  1136.22,  1258.99, 1002.69  , 48.69    , 326.47  , 1377.85 , -26.71         , 1404.56       ,             0,      25
      63,    45.53,   852.1 , -88.0    , 721.4    , 6.24    , 639.63  , -26.71         , 666.34        ,             0,      25
      64,  1212.22,  1736.65, 1078.69  , -93.16   , 164.84  , 1150.37 , -26.71         , 1177.08       ,             0,      25
      65,    85.34,   174.1 , -48.19   , 104.0    , 12.33   , 68.14   , -26.71         , 94.85         ,             0,      28
      66,   488.79,   808.73, 355.26   , -68.07   , 287.53  , 574.71  , -26.71         , 601.42        ,             0,      25
      67,  9126.62,  9215.3 , 8993.09  , -3794.44 , 1037.71 , 6236.37 , -26.71         , 6263.08       ,             0,      25
      68,  1798.45,  3697.26, 1664.92  , 508.44   , 348.47  , 2521.82 , -26.71         , 2548.53       ,             0,      25
      69,   265.16,  1138.67, 131.63   , 538.22   , 71.5    , 741.34  , -26.71         , 768.05        ,             0,      25
      70,   180.81,   338.61, 47.28    , 43.55    , 133.26  , 224.09  , -26.71         , 250.79        ,             0,      25
      71,   779.3 ,   807.74, 645.77   , 35.86    , 105.72  , 787.36  , -26.71         , 814.07        ,             0,      25
      72,   193.21,   418.74, 59.68    , 229.14   , 72.02   , 360.85  , -26.71         , 387.56        ,             0,      25
      73,   401.05,   965.22, 267.52   , 355.1    , 29.19   , 651.8   , -26.71         , 678.51        ,             0,      25
      74,  2278.93,  3387.13, 2145.4   , 358.12   , 309.89  , 2813.41 , -26.71         , 2840.12       ,             0,      25
      75,   144.16,   423.3 , 10.63    , 245.62   , 124.44  , 380.7   , -26.71         , 407.4         ,             0,      25
      76,   395.89,   410.59, 262.36   , 56.61    , 6.01    , 324.99  , -26.71         , 351.69        ,             0,      25
      77,    30.92,   248.88, -102.61  , 308.58   , -22.76  , 183.21  , -26.71         , 209.92        ,             0,      27
      78,   200.86,   709.78, 67.33    , 390.86   , 58.92   , 517.1   , -26.71         , 543.81        ,             0,      25
      79,  5638.48,  6107.64, 5504.95  , -1825.5  , 641.11  , 4320.56 , -26.71         , 4347.27       ,             0,      25
      80,   746.17,   792.24, 612.64   , -91.09   , 115.43  , 636.98  , -26.71         , 663.69        ,             0,      25
      81,  1644.34,  1824.04, 1510.81  , -124.96  , 245.58  , 1631.43 , -26.71         , 1658.14       ,             0,      25
      82,    47.12,   149.06, -86.41   , 99.66    , -1.63   , 11.62   , -26.71         , 38.33         ,             0,      30
      83,   866.55,   960.22, 733.02   , -100.87  , 98.53   , 730.67  , -26.71         , 757.38        ,             0,      25
      84,    33.71,   150.89, -99.82   , 88.78    , -17.08  , -28.11  , -26.71         , -1.41         ,             1,      29
      85,  1602.46,  1716.41, 1468.93  , -521.7   , 318.66  , 1265.88 , -26.71         , 1292.59       ,             0,      26
      86,    22.53,   178.04, -111.0   , 106.05   , -24.78  , -29.72  , -26.71         , -3.02         ,             1,      29
      87,   358.81,   417.27, 225.28   , -20.41   , 97.35   , 302.23  , -26.71         , 328.93        ,             0,      26
      88,   715.15,   763.3 , 581.62   , -111.72  , 157.12  , 627.02  , -26.71         , 653.73        ,             0,      25
      89,   731.3 ,   808.62, 597.77   , 177.8    , 101.55  , 877.12  , -26.71         , 903.82        ,             0,      25
      90,   352.46,   674.22, 218.93   , 201.1    , 71.39   , 491.43  , -26.71         , 518.13        ,             0,      25
      91,    53.54,   303.49, -79.99   , 266.64   , 6.78    , 193.43  , -26.71         , 220.14        ,             0,      25
      92,   244.79,   431.41, 111.26   , 118.27   , 56.1    , 285.64  , -26.71         , 312.34        ,             0,      25
      93,   144.78,   398.74, 11.25    , 117.29   , 66.31   , 194.85  , -26.71         , 221.55        ,             0,      25
      94,    99.53,   228.56, -34.0    , 146.93   , 1.94    , 114.87  , -26.71         , 141.58        ,             0,      27
      95,   930.49,   930.49, 796.96   , -179.2   , 19.53   , 637.29  , -26.71         , 664.0         ,             0,      26
      96,   557.6 ,   774.15, 424.07   , -43.01   , 170.27  , 551.33  , -26.71         , 578.04        ,             0,      25
      97,    45.77,   159.15, -87.76   , 68.07    , 10.12   , -9.57   , -26.71         , 17.14         ,             1,      29
      98,  1116.24,  1181.68, 982.71   , -137.62  , 105.81  , 950.89  , -26.71         , 977.6         ,             0,      25
      99,    56.11,   220.36, -77.42   , 199.59   , -2.98   , 119.19  , -26.71         , 145.9         ,             0,      26
     100,  1568.78,  1718.92, 1435.25  , -621.68  , 322.81  , 1136.39 , -26.71         , 1163.09       ,             0,      26
     101,   396.01,   424.11, 262.48   , 132.32   , 57.5    , 452.3   , -26.71         , 479.01        ,             0,      25
     102,   258.79,   270.25, 125.26   , 71.93    , 8.62    , 205.81  , -26.71         , 232.52        ,             0,      28
     103,   426.13,   615.62, 292.6    , 272.91   , 61.88   , 627.39  , -26.71         , 654.09        ,             0,      25
     104,    24.5 ,   144.94, -109.03  , 136.49   , -26.75  , 0.71    , -26.71         , 27.41         ,             0,      29
     105,   871.83,  1305.2 , 738.3    , 255.83   , 182.73  , 1176.87 , -26.71         , 1203.57       ,             0,      25
     106,   377.17,   435.33, 243.64   , 22.24    , 89.61   , 355.49  , -26.71         , 382.2         ,             0,      26
     107,   124.43,   338.42, -9.1     , 143.94   , 19.88   , 154.71  , -26.71         , 181.42        ,             0,      25
     108,   146.23,   402.81, 12.7     , 205.79   , 15.27   , 233.76  , -26.71         , 260.47        ,             0,      25
     109,   149.97,   449.97, 16.44    , 233.43   , 23.24   , 273.11  , -26.71         , 299.82        ,             0,      25
     110,  6112.46,  8942.08, 5978.93  , -337.93  , 1192.65 , 6833.66 , -26.71         , 6860.36       ,             0,      25
     111,    47.08,   218.15, -86.45   , 236.18   , -14.8   , 134.94  , -26.71         , 161.64        ,             0,      28
     112,   149.04,   193.6 , 15.51    , 71.82    , 4.35    , 91.69   , -26.71         , 118.39        ,             0,      29
     113,   398.17,   534.66, 264.64   , 68.82    , 22.84   , 356.31  , -26.71         , 383.01        ,             0,      26
     114,  5133.89,  7723.43, 5000.36  , -39.22   , 583.73  , 5544.87 , -26.71         , 5571.58       ,             0,      25
     115,   182.86,   396.36, 49.33    , 218.59   , 11.79   , 279.71  , -26.71         , 306.41        ,             0,      26
     116,   395.37,   939.43, 261.84   , 297.55   , 115.6   , 675.0   , -26.71         , 701.71        ,             0,      25
     117,    20.68,   221.15, -112.85  , 138.04   , -24.04  , 1.16    , -26.71         , 27.87         ,             0,      28
     118,   681.7 ,   996.97, 548.17   , 158.68   , 226.91  , 933.76  , -26.71         , 960.47        ,             0,      25
     119,   553.59,   961.47, 420.06   , 304.92   , 74.12   , 799.1   , -26.71         , 825.81        ,             0,      25
     120,    23.88,   140.63, -109.65  , 99.15    , -10.72  , -21.23  , -26.71         , 5.48          ,             0,      29
     121,  2794.33,  3846.25, 2660.8   , -412.76  , 417.33  , 2665.37 , -26.71         , 2692.08       ,             0,      25
     122,   671.31,  1071.06, 537.78   , 572.38   , 62.23   , 1172.38 , -26.71         , 1199.09       ,             0,      25
     123,   318.1 ,   320.56, 184.57   , -12.19   , -6.68   , 165.71  , -26.71         , 192.41        ,             0,      27
     124,   205.05,   913.54, 71.52    , 497.68   , 36.97   , 606.17  , -26.71         , 632.88        ,             0,      25
     125,   689.83,   744.59, 556.3    , -15.9    , 163.36  , 703.77  , -26.71         , 730.47        ,             0,      25
     126,   398.94,   559.31, 265.41   , 164.23   , 129.83  , 559.46  , -26.71         , 586.17        ,             0,      25
     127,  2223.61,  3571.95, 2090.08  , 690.42   , 466.06  , 3246.56 , -26.71         , 3273.27       ,             0,      25
     128,    82.95,   133.53, -50.58   , 57.41    , -4.2    , 2.63    , -26.71         , 29.34         ,             0,      30
     129,    60.68,   210.91, -72.85   , 84.59    , -3.02   , 8.72    , -26.71         , 35.43         ,             0,      29
     130,   112.83,   312.02, -20.7    , 179.97   , 13.15   , 172.41  , -26.71         , 199.12        ,             0,      27
     131,  2548.16,  2548.16, 2414.63  , -528.91  , 241.55  , 2127.26 , -26.71         , 2153.97       ,             0,      25
     132, 12470.97, 12470.97, 12337.44 , -4069.22 , 1052.5  , 9320.73 , -26.71         , 9347.43       ,             0,      25
     133,   139.26,   163.6 , 5.73     , 84.31    , 2.67    , 92.72   , -26.71         , 119.42        ,             0,      27
     134,   264.76,   565.6 , 131.23   , 139.16   , 41.83   , 312.23  , -26.71         , 338.93        ,             0,      26
     135,   486.67,   509.33, 353.14   , -64.83   , 64.51   , 352.81  , -26.71         , 379.52        ,             0,      25
     136,   568.15,  1125.57, 434.62   , 64.29    , 126.06  , 624.96  , -26.71         , 651.66        ,             0,      25
