path_idx,W_final,improvement,sl_improvement
0,-87.4933,44.6284,-82.5536
1,-17.1035,46.426,41.3916
2,-106.388,-106.3585,-425.081
3,-99.2107,2.5935,-70.3464
4,-132.0981,614.8092,0.0
5,-95.809,175.3483,-66.4517
6,-90.477,76.3449,-68.9507
7,271.0781,362.0763,0.0
8,35.835,129.9907,-17.0777
9,31.7961,53.6775,-39.6226
10,-13.0381,39.6689,-4.146
11,-114.2197,-99.8138,-172.5006
12,-48.229,18.4078,78.8204
13,-19.5755,37.4354,81.4667
14,-2.2297,36.3976,-54.2859
15,-20.3873,39.1134,75.5157
16,-91.7757,67.6698,0.0
17,31.0178,81.6994,-31.5715
18,-126.3527,537.6807,-153.5908
19,4.8779,54.7607,5.8237
20,-112.7229,-109.6112,-628.2178
21,-126.3629,273.6354,-287.7745
22,-99.5449,-96.9219,-29.6902
23,-94.1549,178.0811,-218.8303
24,-49.9533,31.8496,-43.6331
25,20.1286,65.8824,59.4707
26,15.9566,43.5592,67.3481
27,371.6325,412.8135,-3.0367
28,17.8953,40.2679,76.8363
29,-108.8827,-103.1926,-340.0641
30,97.4937,113.4986,68.5356
31,-93.9412,-48.511,-130.6295
32,-28.6505,44.2044,-2.6076
33,-63.4012,10.5921,-47.5352
34,-49.7069,-6.9666,-24.1705
35,-127.0549,34.1063,-4.4748
36,-3.6239,50.5506,-40.1264
37,19.2807,66.7788,1.0077
38,44.8753,164.706,32.8232
39,-54.632,-21.0592,-67.0422
40,-84.9944,67.9115,-28.9805
41,-77.5641,104.0181,-5.6255
42,-88.1261,20.2661,-14.0744
43,61.855,65.1221,97.2199
44,-98.3168,-51.0016,-151.4481
45,-67.6287,7.1269,0.0
46,-33.9396,11.7499,-7.0864
47,-9.7179,18.0335,3.3797
48,-25.413,18.3148,37.3798
49,15.381,67.3808,38.8244
50,-96.3439,262.0081,-88.9667
51,-81.8288,-19.9608,-32.6385
52,-28.764,18.0258,61.0587
53,-109.2037,17.2237,-151.0771
54,1.198,51.1479,46.3474
55,-97.5202,66.2859,27.2963
56,-21.9207,47.4195,-57.5569
57,46.8853,97.4186,14.9202
58,-124.7357,46.8876,-50.9588
59,34.6099,64.2611,-7.7126
60,-109.2552,279.6652,-50.4017
61,102.1912,206.9675,-104.1207
62,-312.2647,955.5772,0.0
63,-108.3761,166.9002,-102.8557
64,112.6294,178.6558,-53.6603
65,-107.6877,105.7653,-50.5734
66,-9.1645,35.907,68.1301
67,-1.6951,28.568,70.4516
68,-63.5312,32.2947,-50.6065
69,-89.6839,-89.6829,0.0
70,-51.797,15.2549,-19.266
71,393.2694,393.3256,0.0
72,-98.7607,-37.8243,-207.8813
73,-13.6121,36.7217,-24.5634
74,-30.2754,20.6755,50.8519
75,-98.3396,72.7627,-51.0875
76,57.5317,70.7604,67.2713
77,-82.1423,-82.1615,-81.6813
78,-73.7327,-62.59,-186.0813
79,-93.83,-6.4207,-37.8838
80,39.1074,73.0255,80.3124
81,48.2199,62.9025,83.5709
82,17.2967,150.3348,0.0
83,79.3825,94.7262,62.1586
84,-93.2197,-48.9731,-190.56
85,-12.7608,30.276,66.3322
86,-87.4747,83.8451,-56.9234
87,-73.4685,-23.437,-71.5222
88,-23.6339,13.1559,46.9077
89,30.0564,53.0585,47.6071
90,-105.3357,-26.4144,-33.3432
91,-89.8135,-39.8512,-16.7497
92,-34.7888,18.2607,54.6624
93,-73.7058,38.985,-13.895
94,-104.2092,-71.9877,-102.3903
95,-49.0957,-5.9001,-20.3311
96,-91.841,-4.3068,10.3734
97,50.6134,61.4585,21.2531
98,96.5752,348.6211,0.0
99,-16.8433,29.7133,-60.3928
100,17.0272,46.5948,42.8154
101,-136.8607,855.6674,0.0
102,11.5955,34.9836,-91.3054
103,17.5821,40.9895,44.9716
104,-74.1309,89.9859,-112.6981
105,-79.6551,110.2704,0.0
106,145.1316,186.5076,-6.3584
107,-113.8938,-30.5892,0.0
108,-26.3445,37.9231,42.8863
