path_idx,W_final,improvement,sl_improvement
0,449.8463,582.6411,-415.0847
1,153.5277,218.3958,-76.4692
2,220.9228,635.4267,-609.5246
3,4799.4983,5934.6714,0.0
4,361.3561,412.8882,-105.3646
5,690.5638,701.5401,-6.6777
6,326.7417,348.9083,-11.8417
7,389.0111,458.6828,-37.3609
8,195.6907,220.4554,-105.1044
9,251.6061,277.0947,-39.5814
10,328.332,355.2287,-99.9677
11,523.816,615.1538,-145.5769
12,287.7902,346.787,-120.0327
13,418.023,454.3937,-82.9607
14,264.091,549.204,-201.2518
15,176.2388,530.0054,0.0
16,437.1996,643.4749,0.0
17,228.0296,244.5775,-70.92
18,152.0964,201.5313,-30.3837
19,776.9399,937.8078,0.0
20,416.404,500.0347,0.0
21,272.7396,277.8443,29.8645
22,55.8514,104.7676,-204.8043
23,277.8849,310.686,-138.4721
24,-1048.5277,-178.2575,0.0
25,56.1466,74.5932,-41.6169
26,191.7898,331.7333,-75.9623
27,333.9421,353.1939,-9.0779
28,746.9782,795.667,-55.2181
29,104.9426,142.1022,-126.9518
30,518.0192,582.3411,-147.2208
31,138.374,173.8301,-65.328
32,103.0666,156.0586,-115.9661
33,871.3725,960.6817,0.0
34,-31.3064,1.9955,-70.8537
35,300.2226,319.4898,-10.5089
36,1150.4993,1203.3058,-81.8967
37,509.7319,539.4468,-111.7105
38,212.1528,321.9323,-280.5076
39,14.8926,48.1252,-81.3891
40,325.5673,447.5443,-210.7978
41,474.5226,641.2165,-63.3566
42,91.7922,421.5214,-493.9002
43,253.8786,386.2409,0.0
44,63.682,84.8105,-32.8293
45,313.8124,410.4125,-149.4034
46,795.4006,837.4709,-109.5991
47,41.1713,94.9175,-133.7438
48,2388.35,2518.5381,-179.7206
49,81.405,91.5236,7.8055
50,121.3814,173.652,-172.069
51,230.6868,244.2077,-75.6885
52,-105.7511,15.0144,-354.2017
53,1405.0014,1830.8376,0.0
54,307.9568,312.0689,68.2993
55,17.749,72.1857,-179.0788
56,966.1641,1196.9339,0.0
57,1334.5585,1533.2713,-212.6378
58,120.9095,138.2365,-63.171
59,162.8354,171.0896,17.5421
60,117.3618,300.938,-337.9843
61,370.8194,526.5971,0.0
62,172.2674,192.7795,-68.6536
63,559.969,608.8689,-49.4093
64,255.143,304.2411,-90.1615
65,709.684,736.0969,0.0
66,361.9453,390.1696,-52.513
67,211.8267,220.1398,-29.3922
68,-1333.4083,-268.9702,0.0
69,22.5359,25.1667,59.4146
70,118.5757,391.6132,0.0
71,424.239,458.3368,-58.6821
72,1555.3759,2098.9853,0.0
73,406.0217,422.8941,0.0
74,1085.4052,1152.1483,-35.1632
75,-2.9358,119.1428,-314.3033
76,483.1282,571.2248,-164.8324
77,219.9247,237.5079,-61.3021
78,70.8094,103.0928,-112.7049
79,558.261,606.6254,0.0
80,204.1848,226.3318,-91.3286
81,238.944,503.6715,-494.8591
82,462.0194,582.593,-303.146
83,410.6102,475.2006,-82.755
84,56.1277,65.0274,38.4834
85,142.2543,473.951,-554.0645
86,995.1367,1052.3045,0.0
87,502.0537,510.1852,14.5701
88,153.1861,176.6278,-44.2677
89,-44.6512,196.0841,-910.0235
90,366.8249,383.4927,-67.7477
91,41.3269,74.9197,-65.4208
92,12.0777,35.9421,-47.0485
93,420.0893,521.9957,0.0
94,1057.9943,1224.5335,0.0
95,174.936,179.4211,28.4153
96,939.2105,1029.4289,-148.2977
97,807.4464,1005.9365,-262.6604
98,292.946,533.7981,0.0
99,277.2337,295.126,-45.0404
100,1372.4908,1439.2303,0.0
101,514.4972,535.1914,0.0
102,249.9172,396.5201,0.0
103,118.2585,129.5244,-18.6701
104,488.2344,576.9875,-221.7831
105,180.8293,307.651,-508.4333
106,617.3684,728.254,0.0
107,759.0483,784.235,0.0
108,-204.8367,30.0182,-68.3094
109,415.7347,531.714,0.0
110,775.9693,804.5577,-19.7497
111,108.1806,118.859,-6.4569
112,22.2859,65.0568,-154.3339
113,942.6161,988.2283,-59.6054
114,746.0594,773.7495,0.0
115,769.4979,856.6598,0.0
116,-1.492,190.3692,0.0
117,4381.8055,4924.6943,0.0
118,89.2231,94.7515,61.0319
119,559.6536,640.5303,-88.4736
120,257.9679,270.0676,-44.8353
121,235.0509,271.7843,-114.0315
122,285.3527,392.709,-120.6185
123,376.8782,392.8127,-17.6834
124,65.3029,137.8105,-271.5633
125,188.2478,195.3515,8.6982
126,238.7522,268.3299,-120.9474
127,12.2906,20.3581,44.817
128,142.7958,222.3425,-151.077
129,139.827,143.5596,26.3766
130,115.9061,191.2419,-188.3996
131,823.7065,843.9468,0.0
132,204.73,342.8438,-297.1289
133,2413.21,2761.9333,0.0
134,59.2629,63.4358,26.0275
135,113.1301,196.2314,-92.9621
136,944.1307,986.657,-46.7471
137,146.8815,157.6284,-47.1457
138,85.6979,111.5495,-73.2091
139,1241.5427,1371.7057,0.0
140,398.2897,454.8871,0.0
141,134.4943,144.6101,-17.4023
142,200.7898,220.1454,-58.1491
143,811.4709,982.352,-188.4512
144,387.1066,393.9338,28.7293
145,731.0278,1091.1672,0.0
146,131.3378,358.9073,-381.2968
147,201.0472,246.4475,-70.9769
148,230.4325,239.9221,-5.2141
149,563.8212,866.9523,-204.3279
150,-27.2599,39.1408,-156.9778
151,59.6778,74.7859,-37.0974
152,-239.2845,-38.1224,-511.7526
153,102.8213,203.5413,-288.3497
154,565.1008,625.2451,0.0
155,1216.7273,1303.2629,0.0
156,1526.4221,1669.5692,-133.2088
157,187.6256,253.8302,-55.5296
158,20.561,26.6351,45.7979
159,786.1035,1042.7291,0.0
160,63.6883,69.1492,27.7492
161,304.0436,333.2539,-24.6708
162,15.5082,58.8933,-67.2301
163,-802.4119,-9.3162,-1159.5927
164,1337.5321,1502.413,-729.4693
165,434.9054,514.4024,-294.6179
166,578.0998,690.8289,-186.798
167,866.7223,925.4894,0.0
168,377.8014,388.495,-5.7335
169,686.1402,834.0484,0.0
170,301.1335,305.7239,56.4902
171,355.8196,400.5679,0.0
172,337.1199,396.7054,-111.5749
173,731.643,823.9134,0.0
174,394.0268,446.9726,-18.8666
175,562.7016,718.0641,-57.2735
176,360.6922,412.1588,-95.1863
177,553.1148,670.1176,-67.1501
178,28.895,38.1984,26.6924
179,1156.5243,1246.3812,-141.2424
180,184.506,195.8747,-7.2736
181,154.0621,205.4656,-133.3911
182,327.3548,337.4305,13.9168
183,341.0459,489.7836,-350.7135
184,988.3082,1049.5836,-68.0794
185,234.385,244.5518,-4.3736
186,87.2171,98.9447,-13.955
187,524.0464,535.1578,6.9979
188,201.3346,218.2405,-42.4231
189,253.8805,261.3505,2.2085
190,283.1595,403.5684,-258.7968
191,1117.6623,1144.2467,-18.8558
192,59.6775,403.2796,0.0
193,259.6503,277.3154,-76.9779
194,310.0186,554.6558,0.0
195,208.6448,343.3712,-471.985
196,246.4987,291.8348,-32.9427
197,1033.7421,1058.4189,0.0
198,336.0414,362.0554,-39.056
199,1123.3137,1365.1133,0.0
200,1808.8386,1877.8394,-60.1533
201,777.7219,894.3499,-160.5299
202,2712.0926,3162.6354,0.0
203,160.4858,182.4084,-104.5763
204,444.8963,487.1325,0.0
205,669.4092,778.0282,0.0
206,541.5244,790.9468,-181.2386
207,1220.9486,1384.1073,0.0
208,127.1494,154.7765,-63.9341
209,254.9368,690.1966,0.0
210,122.196,141.1871,-94.2895
211,1167.3443,1305.8029,-99.7357
212,472.223,703.739,0.0
213,145.5324,215.5189,-124.1742
214,-2436.9612,-910.4226,-399.5931
215,879.9365,905.274,0.0
216,325.0598,386.0293,0.0
217,445.7201,457.0443,24.4544
218,494.2665,531.8122,-98.4399
219,-64.9676,68.6788,-427.1866
220,1796.2063,2145.5745,0.0
221,143.0996,158.848,-47.5119
222,70.289,243.6441,-264.6733
223,486.2649,502.588,-40.3046
224,1386.4278,1513.9776,0.0
225,21.5245,159.78,0.0
226,143.7543,280.5276,0.0
227,189.2962,195.9358,-0.4824
228,1767.2057,2069.6319,0.0
229,408.8452,488.8532,-217.601
230,605.5135,741.4261,0.0
231,188.4012,207.0912,-80.9828
232,270.6942,317.165,-84.8763
233,65.4625,80.7951,-20.7419
234,2362.7655,2680.2588,-351.3432
235,158.0758,163.8839,39.7171
236,82.3949,93.2234,16.855
237,73.3152,80.4222,2.5299
238,232.5161,242.098,-30.3375
239,1205.1163,1285.319,0.0
240,685.6964,777.2325,-34.7908
241,152.5793,260.5867,-162.4826
242,524.6972,574.7514,0.0
243,262.3605,286.6753,-48.8948
244,-941.6644,-377.0612,0.0
245,55.3459,104.822,-192.9735
246,369.7218,456.6544,-95.3772
247,1168.9376,1696.9557,0.0
248,805.5049,966.8893,-146.8764
249,234.2077,246.4449,-36.7146
250,436.8287,710.7372,0.0
251,145.8797,157.2055,6.9309
252,419.6404,450.936,-83.6644
253,644.637,722.3074,-102.7547
254,200.1573,271.3542,-121.5621
255,129.8307,149.5994,-81.9575
256,137.4651,146.664,-9.8319
257,33.8968,60.9203,-40.8961
258,127.552,147.4409,-95.7608
259,238.1015,283.9363,-74.3518
260,1301.326,1470.9286,-380.4058
261,267.6395,302.5461,-19.6846
262,460.4017,536.2964,0.0
263,72.8284,434.7898,0.0
264,1829.9347,2082.6541,0.0
265,527.1821,531.917,60.3029
266,-29.0936,75.9575,-352.7544
267,711.2404,1032.8197,0.0
268,132.6723,142.9915,-40.1941
269,597.5516,681.9849,-173.8006
270,-212.8399,70.4466,0.0
271,611.5017,647.6961,0.0
272,83.2638,103.8879,-72.5319
273,1004.9165,1069.8643,0.0
274,4434.6717,4699.7708,0.0
275,2347.6188,2615.7294,-604.1808
276,341.3834,354.9216,-9.3829
277,322.9273,379.6494,-125.5739
278,102.8227,107.186,55.6067
279,88.0026,135.8341,-180.6426
280,194.3114,250.7774,-48.8846
281,40.5038,41.1291,88.8825
282,299.0754,316.1837,-58.2095
283,295.3977,360.0428,-62.183
284,1442.09,1641.406,0.0
285,9146.3416,10206.036,0.0
286,222.2964,252.7779,-142.3941
287,50.231,430.0949,-364.5313
288,-302.478,-80.8556,-789.6094
289,481.6372,504.9632,-66.0015
290,212.5089,230.7672,-94.838
291,809.1339,917.9331,0.0
292,582.2547,587.6918,24.209
293,565.9722,588.0543,0.0
294,7.3256,129.0042,-205.0345
295,638.2213,738.0714,0.0
296,1644.1029,1758.7542,0.0
297,150.6962,178.2488,-105.3868
298,272.6247,319.9225,0.0
299,210.7328,816.4634,0.0
300,1033.8651,1054.133,0.0
301,792.8931,884.3612,0.0
302,117.0622,147.1744,-87.3054
303,213.8133,259.8366,-25.014
304,525.3172,539.6075,-18.6264
305,138.9666,192.7866,-198.2808
306,1.5359,2.9034,66.9294
307,173.9612,196.2668,-93.8149
308,588.0007,788.0947,0.0
309,173.8102,206.7226,-127.8678
310,277.1081,723.9531,-570.6009
311,128.3183,146.409,-82.8735
312,310.3818,313.7178,77.5257
313,107.7814,117.5878,31.0902
314,152.372,168.8252,-74.775
315,678.6161,697.9739,-33.9833
316,463.7185,693.9921,0.0
317,94.1151,167.7876,-220.7134
318,1064.8443,1146.6466,0.0
319,231.6018,238.1491,18.9378
320,323.1382,389.6311,-186.298
321,65.9985,68.0279,88.2748
322,208.6983,253.5754,-94.9962
323,456.6793,474.3939,-72.3121
324,600.4846,661.4613,0.0
325,265.6536,319.2907,0.0
326,360.9825,397.9802,0.0
327,517.2688,558.0168,0.0
328,152.79,158.2638,3.9197
329,162.5546,166.0173,22.7974
330,199.1742,219.6532,0.0
331,287.5274,289.346,92.5923
332,241.0575,291.1444,-94.3999
333,126.4055,161.9605,-205.2249
334,327.5557,355.1357,-20.1461
335,289.8353,310.0601,-38.8566
336,519.668,550.3324,-61.2045
337,472.5995,489.2886,-25.6982
338,857.3504,920.6023,0.0
339,406.8036,420.1159,-22.9738
340,367.2407,468.469,-338.6116
341,2028.5951,2159.1375,0.0
342,381.9622,421.7155,-99.5328
343,3171.4346,3696.2261,0.0
344,1259.1653,1354.3922,0.0
345,274.1611,304.5455,-33.1131
346,-7.8546,18.7088,-38.4242
347,86.8888,105.3111,-39.6456
348,87.2258,105.3681,-61.3254
349,-275.2593,-17.8076,-496.8823
350,217.6402,224.0195,-17.8933
351,169.5228,182.9887,-26.2976
352,-101.3782,91.9255,-172.3379
353,108.4545,113.0127,62.5505
354,340.6298,433.1829,0.0
355,230.2117,234.7071,76.3206
356,1945.4455,2228.4009,0.0
357,909.001,947.8306,0.0
358,820.3349,930.8245,0.0
359,218.8374,229.6704,-16.5942
360,139.7445,155.3317,-66.6362
361,222.9791,253.0969,-90.9489
362,23.4689,69.3037,-145.9482
363,-19.8716,211.1861,-324.3507
364,224.1915,245.5629,-62.7222
365,67.1126,71.3686,29.9062
366,232.7573,237.6359,45.5391
367,468.1675,891.99,0.0
368,572.2696,654.5166,0.0
369,1830.7685,2135.7093,0.0
370,67.4778,107.9892,-82.5251
371,-36.114,18.1209,-12.9213
372,674.9312,728.6467,0.0
373,278.1512,293.4485,-4.4406
374,-796.5618,-78.7258,-587.7006
375,58.6317,69.1673,-6.9912
376,89.0437,256.7037,-245.5598
377,361.0791,437.2702,-87.1606
378,-112.9559,34.6922,-419.1537
379,844.58,1051.2646,0.0
380,641.3283,681.9387,-24.6664
381,398.5244,526.9046,0.0
382,260.2876,272.9909,-25.9468
383,1172.7227,1268.0205,0.0
384,445.3806,478.4822,-43.792
385,510.9549,589.0428,-185.9921
386,31.0189,39.5705,40.6675
387,334.5197,430.8093,-274.7742
388,299.8874,299.8889,0.0
389,1275.3861,1579.6206,-49.8568
390,50.1159,58.8541,22.9277
391,213.1924,239.0292,-30.8576
392,321.3556,391.9207,-76.4744
393,329.7396,562.5423,-173.8253
394,332.7763,405.0216,0.0
395,787.201,941.7019,0.0
396,299.0138,314.0732,-46.0562
397,792.7565,971.0159,-104.2532
398,184.5986,196.6396,-28.1289
399,13.9919,228.367,-97.7126
400,1804.4948,2063.8139,0.0
401,425.1627,583.0255,-272.5302
402,1275.2005,1334.8954,0.0
403,-1381.6185,-539.0536,-1017.2262
404,1635.1405,1688.341,0.0
405,23.7848,28.6155,64.5161
406,56.887,77.0017,-50.0819
407,64.5167,71.6881,52.9098
408,-25.7971,91.449,-391.3002
409,-10.927,-5.1855,63.1807
410,-42.5492,50.3644,-374.1528
411,462.3165,513.5301,-95.5667
412,315.4363,349.0742,-107.0331
413,54.7925,67.5471,7.8286
414,85.5442,97.8495,-49.5712
415,-120.6503,87.8022,-632.7875
416,699.8426,884.9675,0.0
417,546.6911,566.2341,-26.5242
418,859.8923,924.9868,-106.8594
419,83.4707,91.5341,28.5666
420,715.7201,835.9849,0.0
421,747.1814,785.5771,0.0
422,381.9174,450.2642,0.0
423,149.1548,152.9489,35.94
424,305.6042,358.1397,-150.7968
425,161.4641,238.9033,-270.8571
426,1951.7441,2207.667,0.0
427,142.0535,194.8905,-72.3019
428,177.4776,431.8208,-597.0334
429,490.9836,597.691,0.0
430,-28.6613,7.4164,-69.0109
431,208.3178,241.5858,-99.265
432,1092.3336,1140.5517,0.0
433,461.2667,499.9698,0.0
434,269.7316,283.1858,-46.3719
435,-48.0406,126.241,0.0
436,347.3969,391.2177,-76.959
437,-63.3176,-29.7265,-82.1688
438,53.8948,111.3501,-261.6585
439,774.1735,800.6613,-36.5656
440,415.6966,646.2601,-471.9838
441,183.389,261.605,0.0
442,273.7304,414.7715,0.0
443,211.5286,224.8172,-10.3365
444,525.3017,637.9996,0.0
445,82.4392,90.0197,29.1056
446,-74.7608,10.0174,-328.2902
447,617.1975,641.346,-6.5637
448,205.8535,253.0318,-150.6212
449,111.7926,120.3044,9.3852
450,178.3918,240.8329,-126.0105
451,105.8633,203.4389,-184.3266
452,345.7524,373.9498,0.0
453,194.0457,269.6161,-144.9147
454,49.0585,53.1832,50.0896
455,99.4498,114.5604,-22.4048
456,1101.7964,1151.9446,0.0
457,184.2493,191.8845,-5.1163
458,1876.9728,2002.5481,-100.9598
459,140.6725,157.3091,-73.9502
460,268.0892,291.7321,-64.3655
461,388.9044,414.2341,0.0
462,1292.927,1452.6283,0.0
463,624.9098,708.3815,-70.4679
464,975.8061,1097.3281,0.0
465,388.962,419.5369,-23.8978
466,77.082,187.0038,0.0
467,1312.7312,1423.3739,-66.0605
468,411.6597,426.8647,-26.5456
469,212.5381,249.3349,-185.2484
470,667.8137,826.6999,0.0
471,333.8003,379.6919,-57.4792
472,2685.4893,3009.2154,0.0
473,684.7298,746.5836,0.0
474,301.9193,349.4629,0.0
475,426.1152,448.6787,-47.3923
476,731.2821,1068.829,-535.0554
477,695.1466,749.7519,0.0
478,-499.8695,190.0061,0.0
479,203.3251,332.6986,-304.3751
480,-218.8933,-94.6709,-180.7327
481,191.3405,200.9464,-25.0877
482,1207.6686,1362.7501,0.0
483,11.8846,75.4465,-203.5014
484,1924.506,1976.1262,0.0
485,180.5638,231.2918,-158.0344
486,216.7354,293.3637,-166.4774
487,136.2028,151.1961,-39.2601
488,34.6245,36.4213,23.3445
489,311.4241,329.9646,-72.9213
490,90.9814,243.0395,-21.4047
491,851.0685,871.7836,0.0
492,248.0034,267.3757,-95.2059
493,428.5033,491.0608,-109.3523
494,-30.0335,-18.2106,19.4514
495,-90.9247,15.0677,-459.1647
496,379.4088,401.8097,-52.4415
497,783.6118,920.4057,-67.7089
498,575.6156,593.8354,-7.1681
499,36.053,46.3923,25.8925
500,141.9275,155.3804,-38.8688
501,523.649,566.2763,0.0
502,32.7161,74.7127,-96.936
503,239.6332,251.1333,-27.9603
504,463.9126,654.9588,0.0
505,944.055,1019.2488,0.0
506,577.172,694.7969,-189.8854
507,13.3151,168.0618,0.0
508,67.5462,70.2446,57.3258
509,281.1317,332.8829,0.0
510,281.5799,300.3119,-33.6708
511,454.3375,569.9866,0.0
512,210.6781,234.9268,-86.7889
513,194.6771,227.2847,-68.6314
514,453.035,482.7355,0.0
515,-1906.5504,-744.7837,0.0
516,405.1235,430.9018,0.0
517,8.3394,10.3833,83.7258
518,38.9759,41.7051,60.1106
519,-183.0405,54.5709,-887.0805
520,343.8662,417.2321,0.0
521,250.9254,305.9423,-61.2047
522,245.2681,257.7633,-17.608
523,165.0032,241.1062,-223.671
524,729.1286,832.5867,-36.8675
525,2897.5803,3258.777,-185.0712
526,895.1584,1014.1146,-245.8358
527,1700.6088,2141.5268,0.0
