path_idx,W_final,improvement,sl_improvement
0,-227.3216,-118.564,-109.91
1,-31.2559,6.3519,-71.1899
2,-2128.2272,-1559.1656,-1293.0647
3,-223.2609,-179.0064,-167.2132
4,-1104.9661,-855.0107,0.0
5,-439.8892,-417.1082,-100.4656
6,64.0435,98.74,-103.4968
7,-595.7749,-526.0898,0.0
8,-194.1549,-122.1944,0.0
9,-119.5789,-91.7702,0.0
10,-89.7165,-87.1189,0.0
11,-1344.5921,-1090.2273,0.0
12,51.8815,42.1785,26.0366
13,64.6422,24.25,3.9617
14,-114.7168,-85.8527,0.0
15,47.7897,4.3812,41.5795
16,-151.5193,-139.6562,0.0
17,-72.7004,38.2287,-53.5863
18,-460.203,-169.6381,-393.8683
19,27.7034,38.9984,-80.5186
20,-965.8281,-951.0407,-2473.3787
21,-855.3231,-837.0246,-451.4517
22,-292.0033,-158.5685,0.0
23,-333.389,-117.8599,-204.6257
24,-108.7745,-37.8888,-123.5999
25,-45.716,-24.7842,-68.6314
26,22.0883,4.8892,26.0717
27,215.4212,263.6034,-59.6172
28,47.6942,22.7121,53.2316
29,-512.6476,-506.1164,0.0
30,78.474,26.2023,81.9592
31,-296.9483,-185.4001,-220.6361
32,-90.6275,-70.6167,0.0
33,-327.5327,-176.5091,-403.8107
34,-106.5087,-101.1046,-9.6459
35,-61.7437,33.6634,-82.45
36,-93.2842,-67.2603,-122.4803
37,-78.5837,-44.4713,0.0
38,-26.615,40.4158,32.0121
39,-265.5248,-223.7483,0.0
40,-92.4151,-65.2311,0.0
41,-19.228,3.955,-76.2818
42,-218.7179,-115.2692,-172.4689
43,92.5307,17.7501,67.5231
44,-304.4221,-216.5116,-143.7723
45,-456.0542,-276.6082,0.0
46,-39.2698,-30.6932,-173.4579
47,-58.2125,-48.2413,-108.5699
48,30.2107,36.5046,-60.4256
49,-88.3045,-71.9685,-25.4136
50,-920.8501,-748.3719,-425.1876
51,-58.7998,-57.196,-47.1238
52,-91.7868,-66.5056,-29.8586
53,-984.2489,-970.1901,-383.6896
54,-8.6238,-14.4584,-44.5529
55,-117.3033,14.1848,-78.0792
56,-148.1237,-110.4995,-111.6317
57,-123.0822,-85.4526,-34.0726
58,104.5214,124.5035,-56.1878
59,58.8009,69.4629,-67.5638
60,-1195.0116,-369.7907,-96.4042
61,-288.3172,-276.3003,-409.8952
62,-4751.88,1542.1948,0.0
63,-651.0945,51.4103,-141.5358
64,-155.8381,-117.6926,-89.3159
65,-263.6577,-41.1511,-90.4238
66,-36.1325,16.8905,9.7619
67,2.9256,9.7872,-15.9969
68,-133.2215,-75.0429,0.0
69,-358.2158,-330.4236,0.0
70,-23.2851,-10.2577,-70.3046
71,-268.9293,18.4049,0.0
72,-700.9156,-611.3223,0.0
73,-44.1364,-26.6936,-113.0888
74,-51.471,-40.22,-54.819
75,-31.8385,-17.8945,-25.3679
76,70.6327,34.6994,49.1359
77,-152.7778,-125.881,-10.6953
78,-221.8976,-173.1564,-95.359
79,-157.1613,-138.5054,-26.814
80,36.2488,-4.2412,76.1042
81,58.2431,10.2341,30.8523
82,-304.2543,-207.3109,0.0
83,22.4438,-2.7224,54.4416
84,-451.5649,-283.4917,-412.5514
85,12.4694,2.2049,-1.368
86,-98.0135,-90.207,-27.85
87,-192.2177,-147.6748,-82.9011
88,11.5167,12.8303,-29.3709
89,-14.2249,-6.4382,-62.4954
90,-135.5853,-93.3664,-151.5151
91,-304.3287,-270.9441,-51.7233
92,-35.8997,-27.7495,-36.6667
93,-133.2978,-51.9568,0.0
94,-159.3813,-153.5496,0.0
95,-71.0585,-34.9104,-103.4296
96,-161.4832,-75.5297,0.0
97,41.1546,5.9455,10.4923
98,-748.3302,-256.5721,0.0
99,-63.983,-53.5333,-47.7607
100,-27.2775,-21.911,-55.2039
101,-2397.6964,199.7348,0.0
102,-210.0049,-205.2715,-60.8591
103,-14.569,-20.2167,2.3437
104,-7577.3039,-832.1347,-5494.4683
105,-339.4986,-240.1605,0.0
106,-28.2887,8.764,-28.9488
107,-1152.2513,-597.5138,0.0
108,20.0075,13.6349,11.1792
109,-367.5022,218.9336,-90.3347
110,47.0871,8.9031,43.4338
111,12.5487,-11.7673,3.3263
112,-92.5853,-92.2157,-22.4532
113,-1067.6519,-853.1134,-805.7413
114,-49.9802,39.1433,-20.9694
115,-330.5306,-178.4928,0.0
116,23.9166,14.5224,-10.4082
