rank,alpha_L,alpha_S1,T_L,T_S1,base_q1,beta,d_min_short,d_min_long,eta_pct,P_success,E_W,CVaR_W,P_W_positive,E_breach_depth,n_rolls,CVaR_20_improvement,E_drag,score
1,1.15,0.45,34,467,1,0.5,35,21,-0.15,0.901,206.5944,-648.6255,0.8655,18.1034,39.0,172.7156,38.61,134.1056
2,1.15,0.45,34,467,1,0.5,35,21,-0.1,0.901,206.5944,-648.6255,0.8655,18.1034,39.0,172.7156,38.61,134.1056
3,1.15,0.6,34,467,1,0.5,35,21,-0.05,0.845,244.631,-551.5721,0.884,20.5674,39.0,166.5384,34.2135,132.3249
4,1.15,0.45,34,467,2,0.5,35,21,-0.05,0.8125,253.5972,-528.5729,0.8835,27.7955,39.0,164.5088,34.2379,130.2708
5,1.15,0.75,34,467,1,0.5,35,21,0.0,0.7785,292.3959,-444.8565,0.904,23.0964,39.0,159.5208,29.4374,130.0835
6,1.15,0.6,34,1014,1,0.5,14,21,0.0,0.8755,187.6417,-755.2927,0.8505,16.5081,38.0,170.4233,41.3874,129.0359
7,1.0,0.6,559,832,2,0.0,14,21,-0.2,0.289,1.05,1.05,1.0,33.5327,0.0,7.492,6.5481,0.9438
8,1.0,0.6,559,832,2,0.0,21,7,0.0,0.289,1.05,1.05,1.0,33.5327,0.0,7.492,6.5481,0.9438
9,1.0,0.6,559,832,2,0.0,28,21,-0.15,0.289,1.05,1.05,1.0,33.5327,0.0,7.492,6.5481,0.9438
10,1.0,0.75,34,467,1,0.75,28,14,0.05,0.0205,96.3942,-433.1397,0.7485,45.6393,28.71,53.9534,63.9636,-10.0102
11,1.0,0.75,26,467,1,0.25,35,7,-0.05,0.405,98.4087,-444.7148,0.7085,35.1656,32.14,40.1615,70.0251,-29.8637
12,1.0,0.75,26,467,1,0.25,35,7,-0.2,0.405,98.4087,-444.7148,0.7085,35.1656,32.14,40.1615,70.0251,-29.8637
13,1.0,0.75,195,223,1,0.0,21,21,-0.1,0.3425,-60.5075,-263.7323,0.162,31.8484,5.05,9.4884,76.7412,-67.2529
