rank,alpha_L,alpha_S1,T_L,T_S1,base_q1,beta,d_min_short,d_min_long,eta_pct,P_success,E_W,CVaR_W,P_W_positive,E_breach_depth,n_rolls,CVaR_20_improvement,E_drag,score
1,1.15,0.5,34,69,0,0.25,60,28,-0.2,0.9475,432.1399,-353.6929,0.926,26.7664,140.0,187.4707,12.5669,174.9038
2,1.15,0.45,34,832,0,0.0,28,28,-0.15,0.9535,432.1399,-353.6929,0.926,26.9826,84.0,187.4707,12.5669,174.9038
3,1.15,0.4,34,832,0,0.0,42,28,-0.2,0.9535,432.1399,-353.6929,0.926,26.9826,84.0,187.4707,12.5669,174.9038
4,1.15,0.45,34,467,0,0.25,42,28,-0.2,0.9475,432.1399,-353.6929,0.926,26.7664,85.0,187.4707,12.5669,174.9038
5,1.15,0.45,34,832,0,0.0,35,28,-0.15,0.9535,432.1399,-353.6929,0.926,26.9826,84.0,187.4707,12.5669,174.9038
6,1.15,0.55,34,832,0,0.0,35,28,-0.2,0.9535,432.1399,-353.6929,0.926,26.9826,84.0,187.4707,12.5669,174.9038
7,1.15,0.4,34,650,1,0.5,28,28,-0.1,0.8925,440.9399,-344.8929,0.932,33.6424,84.0,181.129,12.3954,168.7337
8,1.25,0.45,223,832,1,0.0,28,60,-0.2,0.8065,-272.222,-1670.974,0.343,10.6293,3.16,79.1278,100.9876,-21.8597
9,1.25,0.45,223,832,2,0.25,42,42,-0.15,0.4395,-210.9072,-1320.4874,0.3115,19.8926,2.89,77.0971,117.9187,-40.8216
10,1.25,0.45,223,832,2,0.25,35,42,-0.1,0.4395,-210.9072,-1320.4874,0.3115,19.8926,2.89,77.0971,117.9187,-40.8216
11,1.1,0.45,286,832,2,0.0,28,28,-0.1,0.327,-104.04,-409.4761,0.165,23.0106,1.59,30.14,96.5369,-66.397
12,1.15,0.45,167,832,2,0.75,60,90,-0.1,0.0,-257.6318,-1633.7414,0.351,59.7156,6.24,49.4694,165.4597,-115.9903
13,1.05,0.45,167,467,2,0.0,42,14,-0.1,0.354,-153.6421,-832.4017,0.197,26.4612,5.24,18.913,139.3887,-120.4758
14,1.15,0.5,132,314,2,0.5,42,60,-0.15,0.087,-249.4547,-1615.1709,0.311,42.0592,8.02,33.3608,167.4069,-134.0461
15,1.15,0.45,132,467,2,0.75,60,42,-0.15,0.0005,-244.4262,-1604.726,0.327,62.499,7.95,55.8201,190.9939,-135.1738
