rank,alpha_L,alpha_S1,T_L,T_S1,base_q1,beta,d_min_short,d_min_long,eta_pct,P_success,E_W,CVaR_W,P_W_positive,E_breach_depth,n_rolls,CVaR_20_improvement,E_drag,score
1,1.15,0.45,34,650,2,0.5,90,28,-0.1,0.8695,494.4768,-822.2405,0.898,39.3213,84.0,240.2593,35.7276,204.5317
2,1.15,0.45,34,650,2,0.75,28,28,-0.15,0.7725,494.1006,-822.0745,0.8985,37.5058,84.0,240.1081,35.7276,204.3804
3,1.15,0.55,34,314,0,0.5,42,28,-0.2,0.9625,470.2768,-846.4405,0.8845,24.4142,85.0,238.8786,36.5806,202.298
4,1.15,0.5,34,69,0,0.75,60,28,-0.2,0.88,469.9006,-846.2745,0.885,23.5296,140.0,238.7273,36.5806,202.1467
5,1.05,0.55,650,832,2,0.0,35,28,-0.2,0.278,-19.0,-19.0,0.0,33.2837,0.0,-2.0905,22.0485,-24.139
6,1.1,0.55,559,832,2,0.0,35,14,-0.15,0.325,-18.3,-18.3,0.0,30.5626,0.0,-0.4424,24.2923,-24.7348
7,1.25,0.55,223,314,2,0.0,28,60,-0.2,0.6575,-430.8834,-2445.3677,0.234,34.3238,4.12,47.8713,128.7366,-80.8653
8,1.05,0.45,286,467,2,0.0,90,28,-0.2,0.3625,-53.0062,-251.1435,0.1805,24.2314,2.43,6.9681,101.2129,-94.2448
9,1.05,0.55,314,832,2,0.0,28,60,-0.1,0.3325,-122.6516,-490.1303,0.1135,28.3779,1.28,20.6543,121.1814,-100.5272
10,1.05,0.55,314,832,2,0.0,35,60,-0.1,0.3325,-122.6516,-490.1303,0.1135,28.3779,1.28,20.6543,121.1814,-100.5272
11,1.05,0.55,286,832,2,0.0,60,28,-0.1,0.2935,-122.6929,-483.131,0.1175,27.6255,1.43,16.7029,125.3908,-108.6879
12,1.25,0.55,223,832,2,0.25,42,42,-0.15,0.4355,-364.3092,-2093.2563,0.2275,21.6179,2.79,74.0716,198.8564,-124.7848
13,1.05,0.45,167,467,2,0.0,42,14,-0.1,0.4335,-249.7685,-1241.433,0.1425,23.3475,4.89,13.9423,219.4381,-205.4958
14,1.15,0.45,132,467,2,0.5,90,42,-0.15,0.113,-386.0745,-2261.2932,0.234,37.0541,7.21,48.0945,280.6752,-232.5807
