day,S,H,Flr,W,Pi,V,breach,depth,K_L,K_S1,T_L_rem,T_S1_rem,tS,tL,roll_count,breach_days,depth_sum,event
1,172.46244490578408,172.46244490578408,114.61048898115683,-16.229499999999984,1.7984642857142856,158.0314091914984,0,0.0,153.55949999999999,60.0885,33,166,1,1,0,0,0.0,
2,189.60189991996796,189.60189991996796,118.03837998399361,-16.229499999999984,0.4638571428571425,173.83625706282513,0,0.0,153.55949999999999,60.0885,32,165,2,2,0,0,0.0,
3,182.8935363503463,189.60189991996796,118.03837998399361,-16.229499999999984,1.343285714285714,168.00732206463204,0,0.0,153.55949999999999,60.0885,31,164,3,3,0,0,0.0,
4,171.47432171374913,189.60189991996796,118.03837998399361,-16.229499999999984,2.334016984883407,157.57883869863258,0,0.0,153.55949999999999,60.0885,30,163,4,4,0,0,0.0,
5,162.64400338781974,189.60189991996796,118.03837998399361,-16.229499999999984,4.09892515033097,150.51342853815072,0,0.0,153.55949999999999,60.0885,29,162,5,5,0,0,0.0,
6,161.33942191170155,189.60189991996796,118.03837998399361,-16.229499999999984,3.5908668548060296,148.7007887665076,0,0.0,153.55949999999999,60.0885,28,161,6,6,0,0,0.0,
7,174.90641166199254,189.60189991996796,118.03837998399361,-16.229499999999984,1.1892499999999995,159.86616166199255,0,0.0,153.55949999999999,60.0885,27,160,7,7,0,0,0.0,
8,183.02582629598578,189.60189991996796,118.03837998399361,-16.229499999999984,0.7654285714285711,167.56175486741438,0,0.0,153.55949999999999,60.0885,26,159,8,8,0,0,0.0,
9,188.88181263338547,189.60189991996796,118.03837998399361,-16.229499999999984,-0.10014285714285709,172.55216977624264,0,0.0,153.55949999999999,60.0885,25,158,9,9,0,0,0.0,
10,186.07004388043433,189.60189991996796,118.03837998399361,-16.229499999999984,0.5942857142857148,170.43482959472007,0,0.0,153.55949999999999,60.0885,24,157,10,10,0,0,0.0,
11,182.42859808064836,189.60189991996796,118.03837998399361,-16.229499999999984,0.5087142857142859,166.70781236636267,0,0.0,153.55949999999999,60.0885,23,156,11,11,0,0,0.0,
12,173.86311296316413,189.60189991996796,118.03837998399361,-16.229499999999984,0.6265714285714283,158.26018439173558,0,0.0,153.55949999999999,60.0885,22,155,12,12,0,0,0.0,
13,188.08911829571508,189.60189991996796,118.03837998399361,-16.229499999999984,-0.35094306627807725,171.50867522943702,0,0.0,153.55949999999999,60.0885,21,154,13,13,0,0,0.0,
14,176.71146268512913,189.60189991996796,118.03837998399361,-16.229499999999984,0.39599999999999946,160.87796268512915,0,0.0,153.55949999999999,60.0885,20,153,14,14,0,0,0.0,
15,160.91956273179642,189.60189991996796,118.03837998399361,-16.229499999999984,2.305859230865667,146.99592196266212,0,0.0,153.55949999999999,60.0885,19,152,15,15,0,0,0.0,
16,146.79381192307304,189.60189991996796,118.03837998399361,-16.229499999999984,7.5405711134579425,138.104883036531,0,0.0,153.55949999999999,60.0885,18,151,16,16,0,0,0.0,
17,156.805548178383,189.60189991996796,118.03837998399361,-16.229499999999984,3.506088425714946,144.08213660409797,0,0.0,153.55949999999999,60.0885,17,150,17,17,0,0,0.0,
18,157.6926666648716,189.60189991996796,118.03837998399361,-16.229499999999984,3.1235282782894993,144.58669494316115,0,0.0,153.55949999999999,60.0885,16,149,18,18,0,0,0.0,
19,163.72218534244925,189.60189991996796,118.03837998399361,-16.229499999999984,2.2121192952624695,149.70480463771176,0,0.0,153.55949999999999,60.0885,15,148,19,19,0,0,0.0,
20,159.9946560636869,189.60189991996796,118.03837998399361,-36.23091420323941,19.642055552410174,143.40579741285768,0,0.0,183.99385447323994,60.0885,34,147,20,0,1,0,0.0,ROLL_L
21,163.23584964574175,189.60189991996796,118.03837998399361,-36.23091420323941,17.23584909432305,144.2407845368254,0,0.0,183.99385447323994,60.0885,33,146,21,1,1,0,0.0,
22,157.34459659376813,189.60189991996796,118.03837998399361,-36.23091420323941,22.35040073661466,143.4640831271434,0,0.0,183.99385447323994,60.0885,32,145,22,2,1,0,0.0,
23,150.75470344111415,189.60189991996796,118.03837998399361,-36.23091420323941,28.969436746411503,143.49322598428625,0,0.0,183.99385447323994,60.0885,31,144,23,3,1,0,0.0,
24,151.85644027074096,189.60189991996796,118.03837998399361,-36.23091420323941,27.896842773927546,143.5223688414291,0,0.0,183.99385447323994,60.0885,30,143,24,4,1,0,0.0,
25,158.23752032996657,189.60189991996796,118.03837998399361,-36.23091420323941,21.84357142857143,143.8501775552986,0,0.0,183.99385447323994,60.0885,29,142,25,5,1,0,0.0,
26,164.74643615262204,189.60189991996796,118.03837998399361,-36.23091420323941,16.019989749189325,144.53551169857195,0,0.0,183.99385447323994,60.0885,28,141,26,6,1,0,0.0,
27,159.00081206268416,189.60189991996796,118.03837998399361,-36.23091420323941,20.839899553412916,143.60979741285766,0,0.0,183.99385447323994,60.0885,27,140,27,7,1,0,0.0,
28,160.19671458147945,189.60189991996796,118.03837998399361,-36.23091420323941,19.673139891760478,143.63894027000052,0,0.0,183.99385447323994,60.0885,26,139,28,8,1,0,0.0,
29,168.40806225456862,189.60189991996796,118.03837998399361,-36.23091420323941,14.578380952380954,146.75552900371014,0,0.0,183.99385447323994,60.0885,25,138,29,9,1,0,0.0,
30,177.35980939183165,189.60189991996796,118.03837998399361,-36.23091420323941,8.784761904761906,149.91365709335415,0,0.0,183.99385447323994,60.0885,24,137,30,10,1,0,0.0,
31,173.32178680496634,189.60189991996796,118.03837998399361,-36.23091420323941,11.271142857142857,148.36201545886976,0,0.0,183.99385447323994,60.0885,23,136,31,11,1,0,0.0,
32,173.75065566389438,189.60189991996796,118.03837998399361,-36.23091420323941,11.150857142857145,148.67059860351213,0,0.0,183.99385447323994,60.0885,22,135,32,12,1,0,0.0,
33,177.94327818553276,189.60189991996796,118.03837998399361,-36.23091420323941,8.06890476190476,149.78126874419812,0,0.0,183.99385447323994,60.0885,21,134,33,13,1,0,0.0,
34,171.15080318457285,189.60189991996796,118.03837998399361,-36.23091420323941,10.910285714285715,145.83017469561915,0,0.0,183.99385447323994,60.0885,20,133,34,14,1,0,0.0,
35,165.6397871935512,189.60189991996796,118.03837998399361,-36.23091420323941,15.394067279688734,144.80294027000053,0,0.0,183.99385447323994,60.0885,19,132,35,15,1,0,0.0,
36,173.36566504106304,189.60189991996796,118.03837998399361,-36.23091420323941,10.656156209482852,147.79090704730646,0,0.0,183.99385447323994,60.0885,18,131,36,16,1,0,0.0,
37,167.44847412018626,189.60189991996796,118.03837998399361,-36.23091420323941,13.9164774676144,145.13403738456128,0,0.0,183.99385447323994,60.0885,17,130,37,17,1,0,0.0,
38,166.25960614446745,189.60189991996796,118.03837998399361,-36.23091420323941,14.789109702282659,144.81780164351068,0,0.0,183.99385447323994,60.0885,16,129,38,18,1,0,0.0,
39,160.6823949046742,189.60189991996796,118.03837998399361,-36.23091420323941,19.570590778659124,144.02207148009393,0,0.0,183.99385447323994,60.0885,15,128,39,19,1,0,0.0,
40,180.32442968806973,189.60189991996796,118.03837998399361,-55.64410401365757,24.385482779821416,149.06580845423358,0,0.0,207.37309414128018,60.0885,34,127,40,0,2,0,0.0,ROLL_L
41,177.62579513495447,189.60189991996796,118.03837998399361,-55.64410401365757,26.876204956864257,148.85789607816116,0,0.0,207.37309414128018,60.0885,33,126,41,1,2,0,0.0,
42,193.54344366327322,193.54344366327322,118.82668873265466,-55.64410401365757,13.465458810958228,151.3647984605739,0,0.0,207.37309414128018,60.0885,32,125,42,2,2,0,0.0,
43,190.51563074715384,193.54344366327322,118.82668873265466,-55.64410401365757,16.245311491631995,151.11683822512828,0,0.0,207.37309414128018,60.0885,31,124,43,3,2,0,0.0,
44,197.66031499849237,197.66031499849237,119.65006299969849,-55.64410401365757,13.163202395783948,155.17941338061874,0,0.0,207.37309414128018,60.0885,30,123,44,4,2,0,0.0,
45,189.11916539052677,197.66031499849237,119.65006299969849,-55.64410401365757,15.940603372725949,149.41566474959515,0,0.0,207.37309414128018,60.0885,29,122,45,5,2,0,0.0,
46,193.74029654324931,197.66031499849237,119.65006299969849,-55.64410401365757,12.80953678022895,150.90572930982069,0,0.0,207.37309414128018,60.0885,28,121,46,6,2,0,0.0,
47,206.20068805035655,206.20068805035655,121.35813761007132,-55.64410401365757,8.821994838435579,159.37857887513456,0,0.0,207.37309414128018,60.0885,27,120,47,7,2,0,0.0,
48,188.12363017582928,206.20068805035655,121.35813761007132,-55.64410401365757,16.88580882460641,149.36533498677812,0,0.0,207.37309414128018,60.0885,26,119,48,8,2,0,0.0,
